# name,planet_status,mass,radius,orbital_period,discovered,updated,mag_v,mag_i,mag_j,mag_h,mag_k,star_distance,star_metallicity,star_mass,star_radius,star_sp_type,star_age,star_teff,star_detected_disc,star_magnetic_field
GJ 3470 b,Confirmed,0.03958,0.3738074294,3.336649,2012,2022-07-07,12.3,,,,,30.7,0.2,0.51,0.48,M1.5,1.6,3652,,
GJ 3470 c,Candidate,,0.821,66,2020,2020-07-16,12.3,,,,,30.7,0.2,0.51,0.48,M1.5,1.6,3652,,
GJ 3473 b,Confirmed,0.00585,0.11277,1.1980035,2020,2020-09-23,13,,,,,27.39,0.11,0.36,0.364,M4V,,3347,,
GJ 3473 c,Confirmed,,,15.509,2020,2020-09-23,13,,,,,27.39,0.11,0.36,0.364,M4V,,3347,,
GJ 3512 b,Confirmed,,,203.69,2019,2020-11-25,,,,,,9.489,-0.07,0.123,0.139,M5.5V,,3081,,
GJ 3512 c,Confirmed,,,1599.6,2019,2020-11-25,,,,,,9.489,-0.07,0.123,0.139,M5.5V,,3081,,
GJ 357 b,Confirmed,0.006566,0.10411,3.93086,2019,2020-07-21,,,,,,9.444,-0.12,0.342,0.337,M2.5 V,,3505,,
GJ 357 c,Confirmed,,,9.1246,2019,2019-09-04,,,,,,9.444,-0.12,0.342,0.337,M2.5 V,,3505,,
GJ 357 d,Confirmed,,,55.698,2019,2019-09-04,,,,,,9.444,-0.12,0.342,0.337,M2.5 V,,3505,,
GJ 3626 b,Candidate,,,2996,2021,2021-06-01,,,,,,,,,,,,,,
GJ 3634 b,Confirmed,0.026,,2.64561,2011,2012-09-10,11.95,,,,,19.8,,0.45,0.43,M2.5,,,,
GJ 367  b,Confirmed,0.00047,0.0526,0.3219659,2021,2022-04-07,10,,,,,9.41,-0.01,0.454,0.457,M1,,3522,,
GJ 3779 b,Confirmed,,,3.0232,2018,2018-10-18,13,,,,,13.748,0,0.27,0.281,MRV,,3324,,
