# name,planet_status,mass,radius,orbital_period,discovered,updated,mag_v,mag_i,mag_j,mag_h,mag_k,star_distance,star_metallicity,star_mass,star_radius,star_sp_type,star_age,star_teff,star_detected_disc,star_magnetic_field
K2-52 b,Confirmed,0.4046,1.606,3.535055,2016,2021-02-05,,,12.729,12.126,,1041.7,0.055,1.69,2.19,,,7147,,
K2-53 b,Confirmed,0.0289,0.232,12.20772,2016,2021-02-05,,,10.306,9.826,,139.1,-0.037,0.85,0.81,,,5263,,
K2-54 b,Confirmed,,0.103,9.7843,2016,2021-02-05,,,11.85,11.231,,175.84,,0.42,0.38,,,3798,,
K2-55 b,Confirmed,0.138,0.341,2.849258,2016,2021-02-05,13.6,,11.23,10.615,,160.26,0.376,0.7,0.63,,,4456,,
K2-57 b,Confirmed,,0.187,9.0063,2016,2021-02-05,,,12.35,11.761,,266.23,,0.68,0.62,,,4434,,
K2-58 b,Confirmed,,0.239,7.05254,2016,2021-02-05,,,10.765,10.314,,182.69,,0.89,0.86,,,5413,,
K2-58 c,Confirmed,,0.145,2.53726,2016,2021-02-05,,,10.765,10.314,,182.69,,0.89,0.86,,,5413,,
K2-58 d,Confirmed,,0.153,22.8827,2016,2021-02-05,,,10.765,10.314,,182.69,,0.89,0.86,,,5413,,
K2-59 b,Confirmed,,0.215,20.6921,2016,2021-02-05,,,12.454,11.981,,314.09,,0.77,0.73,,,5055,,
K2-59 c,Confirmed,,0.205,11.2954,2016,2021-02-05,,,12.454,11.981,,314.09,,0.77,0.73,,,5055,,
K2-6 b,Confirmed,,0.223,30.94191,2015,2021-02-05,,,11.44,11.09,,319.59,-0.14,0.97,0.96,,,5850,,
K2-60 b,Confirmed,0.426,0.683,3.00265,2016,2021-02-05,,,11.41,11.085,10.99,498.7,0.01,0.97,1.12,G4 V,10,5500,,
K2-61 b,Confirmed,,0.221,2.57302,2016,2021-02-05,,,11.758,11.423,,410.35,,1.21,1.36,,,6293,,
K2-62 b,Confirmed,,0.191,6.67202,2016,2021-02-05,,,10.374,9.811,,112.83,,0.77,0.73,,,4880,,
K2-62 c,Confirmed,,0.191,16.1966,2016,2021-02-05,,,10.374,9.811,,112.83,,0.77,0.73,,,4880,,
K2-63 b,Confirmed,,0.287,20.257,2016,2021-02-05,,,11.606,11.32,,524.41,,1.4,1.63,,,6771,,
K2-63 c,Confirmed,,0.348,25.4556,2016,2021-02-05,,,11.606,11.32,,524.41,,1.4,1.63,,,6771,,
K2-64 b,Confirmed,,0.185,6.53044,2016,2021-02-05,,,12.665,12.258,,506.87,,0.74,0.73,,,5312,,
K2-65 b,Confirmed,,0.141,12.6475,2016,2021-02-05,,,8.967,8.457,,78.06,,0.87,0.84,,,5213,,
K2-66 b,Confirmed,0.06702,0.222,5.06963,2016,2021-02-05,11.71,,10.948,10.664,,520.43,-0.047,1.11,1.67,,,5887,,
K2-68 b,Confirmed,,0.141,8.05428,2016,2021-02-05,,,11.139,10.651,,169.47,,0.73,0.68,,,4746,,
K2-69 b,Confirmed,,0.207,7.06599,2016,2021-02-05,,,12.608,11.933,,181.63,,0.55,0.49,,,4127,,
K2-7 b,Confirmed,,0.238,28.67992,2015,2021-02-05,,,11.952,11.628,,754.64,-0.07,0.97,0.96,,,5772,,
K2-70 b,Confirmed,,0.258,13.97896,2016,2021-02-05,,,11.355,10.935,,234.47,,0.94,0.93,,,5622,,
K2-71 b,Confirmed,,0.192,6.98541,2016,2021-02-05,,,12.598,11.927,,153.86,,0.48,0.43,,,4006,,
K2-72 b,Confirmed,,0.096,5.577212,2016,2021-02-05,,,11.685,11.122,,66.56,,0.27,0.33,,,3360.47,,
K2-72 c,Confirmed,,0.103,15.189034,2016,2021-02-05,,,11.685,11.122,,66.56,,0.27,0.33,,,3360.47,,
K2-72 d,Confirmed,,0.09,7.760178,2016,2021-02-05,,,11.685,11.122,,66.56,,0.27,0.33,,,3360.47,,
K2-72 e,Confirmed,,0.115,24.158868,2016,2021-02-05,,,11.685,11.122,,66.56,,0.27,0.33,,,3360.47,,
K2-73 b,Confirmed,,0.219,7.49543,2016,2021-02-05,,,10.695,10.382,,271.27,,1.05,1.06,,,5922,,
K2-74 b,Confirmed,,0.206,19.5666,2016,2021-02-05,,,11.427,11.177,,381.85,,0.96,0.98,,,6060,,
K2-75 b,Confirmed,,0.238,7.8142,2016,2021-02-05,,,11.564,11.283,,570.86,,1.16,1.56,,,5995,,
K2-75 c,Confirmed,,0.247,18.311,2016,2021-02-05,,,11.564,11.283,,570.86,,1.16,1.56,,,5995,,
K2-77 b,Confirmed,1.9,0.205,8.199796,2016,2022-06-08,12.158,,10.384,9.91,,142.31,0.29,0.8,0.76,K,0.85,4970,,
K2-79 b,Confirmed,0.0371,0.3649,10.99475,2016,2021-11-05,,,10.358,9.998,,257.9,,1.06,1.28,,,5926,,
K2-8 b,Confirmed,,0.319,10.35239,2015,2021-02-05,14.384,14.029,12.829,12.318,12.245,407.93,-0.02,0.78,0.74,K3 V,,4870,,
K2-8 c,Confirmed,,0.215,5.06416,2016,2021-02-05,14.384,14.029,12.829,12.318,12.245,407.93,-0.02,0.78,0.74,K3 V,,4870,,
K2-80 b,Confirmed,,0.179,19.0918,2016,2021-02-05,,,10.874,10.425,,201.96,,0.9,0.87,,,5441,,
K2-80 c,Confirmed,,0.131,5.605,2016,2021-02-05,,,10.874,10.425,,201.96,,0.9,0.87,,,5441,,
K2-80 d,Confirmed,,0.228,28.867253,2018,2021-02-05,,,10.874,10.425,,201.96,,0.9,0.87,,,5441,,
K2-81 b,Confirmed,,0.176,6.102325,2016,2021-02-05,,,12.048,11.419,,254.14,,0.75,0.63,,,4674.13,,
K2-83 b,Confirmed,,0.111,2.74697,2016,2021-02-05,,,11.599,10.945,,125.98,,0.48,0.42,,,3910,,
K2-83 c,Confirmed,,0.132,9.99767,2016,2021-02-05,,,11.599,10.945,,125.98,,0.48,0.42,,,3910,,
K2-84 b,Confirmed,,0.215,6.4215,2016,2021-02-05,,,11.613,11.206,,287.23,,0.95,0.93,,,5652,,
K2-84 c,Confirmed,,0.181,27.86,2016,2021-02-05,,,11.613,11.206,,287.23,,0.95,0.93,,,5652,,
K2-85 b,Confirmed,,0.09,0.684533,2016,2021-02-05,,,10.229,9.613,,97.49,,0.57,0.51,,,4268,,
K2-86 b,Confirmed,,0.175,8.77683,2016,2021-02-05,,,11.44,11.003,,260.61,,0.79,0.76,,,5482,,
K2-87 b,Confirmed,0.1192,0.678,9.726618,2016,2021-02-05,,,11.811,11.359,,503.6,0.328,1.16,1.4,,,5747,,
K2-88 b,Confirmed,,0.11,4.6122,2016,2021-02-05,,,12.037,11.456,,110.91,,0.26,0.26,,,3537,,
K2-89 b,Confirmed,,0.055,1.096026,2016,2021-02-05,,,10.933,10.318,,86.25,,0.35,0.32,,,3691,,
K2-9 b,Confirmed,,0.201,18.4498,2015,2021-02-05,,,12.451,11.71,,83.16,-0.25,0.3,0.31,M2.5 V,1,3390,,
K2-90 b,Confirmed,0.028,0.232,13.733314,2016,2021-02-05,,,11.168,10.495,,134.9,-0.225,0.63,0.62,,,4484,,
K2-90 c,Confirmed,,0.116,2.900706,2016,2021-02-05,,,11.168,10.495,,134.9,-0.225,0.63,0.62,,,4484,,
K2-91 b,Confirmed,,0.098,1.419549,2016,2021-02-05,,,11.433,10.835,,62.69,,0.29,0.28,,,3622,,
K2-95 b,Confirmed,1.67,0.346,10.134016,2016,2021-02-05,17.1,,13.312,12.738,,180.63,-0.03,0.44,0.42,M3.0,0.8,3548,,
K2-97 b,Confirmed,1.1,0.947,8.406726,2016,2021-02-05,,,10.694,10.177,,869.76,0.33,1.2,4.47,,7.8,4717,,
K2-98 b,Confirmed,0.101,0.464,10.136448,2016,2021-02-05,12.166,,11.124,10.905,,526.31,-0.06,1.2,1.57,F8 V,5.2,6172,,
K2-99 b,Confirmed,0.87,1.046,18.24783,2016,2021-12-03,11.149,,10.024,9.755,,522.29,0.21,1.63,2.63,G0 IV,2.4,6217,,
K2-99 c,Confirmed,,,522.2,2021,2021-12-03,11.149,,10.024,9.755,,522.29,0.21,1.63,2.63,G0 IV,2.4,6217,,
KELT-1 b,Confirmed,27.23,1.15,1.217514,2012,2018-08-15,10.7,,,,,263,0.052,1.335,1.471,F5,1.75,6516,,
KELT-10 b,Confirmed,0.679,1.399,4.166285,2015,2018-12-17,10.8,,,,,183,0.09,1.112,1.209,,4.5,5948,,
KELT-11 b,Confirmed,0.195,1.3,4.736529,2016,2022-09-02,8,,,,,98,0.18,1.438,2.72,G8,,5370,,
KELT-12 b,Confirmed,0.95,1.79,5.0316144,2016,2022-08-26,10.66,,,,,360,0.23,1.239,1.291,F7,0.8,6330,,
KELT-15 b,Confirmed,0.92,1.443,3.329441,2015,2018-12-17,11.44,,,,,201,0.047,1.181,1.481,,,6003,,
KELT-16 b,Confirmed,2.75,1.415,0.9689951,2016,2016-08-03,11.9,,,,,365,-0.002,1.211,1.36,F7V,2.9,6236,,
KELT-17 b,Confirmed,1.31,1.525,3.0801716,2015,2016-07-14,9.29,,,,,210,-0.018,1.635,1.645,A,,7454,,
KELT-18 b,Confirmed,1.18,1.57,2.8717518,2017,2017-02-07,10.1,,,,,311,0.09,1.524,1.908,F4V,1.9,6670,,
KELT-19 A b,Confirmed,4.07,1.91,4.6117093,2017,2017-09-22,,,,,,255,-0.12,1.62,1.83,A8V,1.1,7500,,
KELT-2 A b,Confirmed,1.486,1.306,4.1137914,2012,2017-06-08,8.7,,,,,128.9,-0.015,1.31,1.842,F7V,,6148,,
KELT-21 b,Confirmed,3.91,1.586,3.6127647,2017,2017-12-12,10.5,,,,,415,-0.405,1.458,1.638,A8V,1.6,7598,,
KELT-22A b,Confirmed,3.69,1.2,1.38665318,2018,2020-03-06,11.3,,,,,,0.16,1.05,1.11,G3,5,5700,,
KELT-23A b,Confirmed,0.938,1.323,2.255251,2019,2019-10-05,10.4,,,,,125.42,-0.105,0.942,0.996,,6.4,5899,,
KELT-25 b,Confirmed,21,1.642,4.401131,2020,2020-03-26,9.63,,,,,442.7,0.3,2.18,2.264,A,0.46,8280,,
KELT-3 b,Confirmed,1.418,1.333,2.7033902,2012,2018-12-17,9.8,,,,,178,0.048,1.282,1.482,F,3,6304,,
KELT-4 A b,Confirmed,0.884,1.706,2.9895933,2013,2017-06-11,,,,,,211,-0.116,1.204,1.61,F,4.38,6207,,
KELT-5 b,Candidate,,1.6737,3.0196,,2022-11-20,11.3,,,,,480.3,,1.59,1.59,,,7128,,
KELT-6 b,Confirmed,0.442,1.18,7.845582,2013,2015-08-27,10.38,,,,,,-0.27,1.126,1.529,F,4.9,6272,,
KELT-6 c,Confirmed,,,1276,2015,2015-08-27,10.38,,,,,,-0.27,1.126,1.529,F,4.9,6272,,
KELT-7 b,Confirmed,1.24,1.293,2.734784,2015,2022-09-16,8.54,,,,,129,0.139,1.535,1.732,,1.3,6789,,
KELT-8 b,Confirmed,0.874,1.86,3.24406,2015,2018-12-17,10.83,,,,,236,0.27,1.211,1.67,G2V,5.4,5754,,
KELT-9 b,Confirmed,2.88,1.84,1.4811235,2017,2022-07-11,7.56,,,,,,,,,A0,,10170,,
KH 15D b,Candidate,10,,,2013,2021-10-05,14,,,,,760,,,,K5,0.003,,,
KIC 10001893 b,Controversial,,,0.2197,2014,2019-06-11,16,,,,,,,0.47,,,,26700,,
KIC 10001893 c,Controversial,,,0.32528,2014,2021-09-13,16,,,,,,,0.47,,,,26700,,
KIC 10001893 d,Controversial,,,0.81161,2014,2021-09-13,16,,,,,,,0.47,,,,26700,,
KIC 10024862 b,Candidate,,0.49,567.0445,2015,2020-04-16,16.4,,,,,,0.07,1.07,1.11,,,6616,,
KIC 10068024 b,Confirmed,,,2.073549,2021,2021-08-05,,,,,,,0.01,1.22,1.574,,,6118,,
KIC 10255705 b,Confirmed,,0.65,707.3793,2013,2020-04-16,13.5,,,,,,-0.13,1.1,2.12,,,5030,,
KIC 10544976 (AB) b,Confirmed,,,6136,2019,2019-04-11,19,,,,,458,,,,DA+M4V,,,,
KIC 11152511 b,Confirmed,,0.36,287.363,2013,2014-05-21,14,,,,,,-0.1,1.01,2.08,,,5273,,
KIC 12251650 b,Candidate,,1.27,17.7621,2010,2021-09-29,14.8,,,,,,,,0.77,,,4952,,
KIC 12454613 b,Confirmed,,0.228,736.3819,2013,2015-09-15,14,,,,,,0.03,0.87,0.82,,,5420,,
KIC 1571511 b,Retracted,,1.44,14.01769,2010,2021-10-02,13.4,,,,,,,,,,,5804,,
KIC 2437209 b,Candidate,,5.5,281.2228,2013,2021-10-05,16.8,,,,,,-0.047,1.1,5.3,,,4675,,
KIC 3342592 b,Retracted,,1.38,17.17909,2010,2021-10-02,14.9,,,,,,,,,,,5717,,
KIC 3526061 b,Confirmed,,,3552,2022,2022-09-23,10.4,,,,,399,0.12,,,,,4829,,
KIC 4918810 b,Candidate,,0.91,,2021,2021-07-02,15,,,,,1082,0.188,1.388,1.836,,3.03,6119,,
KIC 5010054 b,Confirmed,,0.62,904.24,2013,2014-05-27,14.5,,,,,,,1.05,2.17,,,5550,,
KIC 5094412 b,Confirmed,,0.51,276.88,2013,2014-05-27,16,,,,,,-0.327,0.82,0.8,,,5313,,
KIC 5095269 (AB) b,Confirmed,7.698,,237.70817,2017,2019-05-15,,13.389,12.499,12.217,12.215,,,,,F7V/M,,,,
KIC 5372966 b,Retracted,,1.91,9.286532,2010,2021-10-02,15.4,,,,,,,,,,,5464,,
KIC 5479689 b,Confirmed,,,1.701531,2021,2021-08-05,,,,,,,0.161,0.966,0.894,,,5459,,
KIC 5522786 b,Confirmed,,0.11,757.1639,2013,2014-05-27,9.8,,,,,,-0.03,1.79,1.3,,,8719,,
KIC 5732155 b,Confirmed,,1.14,644.1685,2013,2014-05-27,15.5,,,,,,-0.03,1.13,1.99,,,5755,,
KIC 5878307 b,Candidate,,,2.0465,2021,2021-08-06,,,,,,,,,,,,,,
KIC 6372194 b,Confirmed,,0.74,281.5848,2013,2014-05-28,16.3,,,,,,-0.37,0.8,0.75,,,5233,,
KIC 6756669 b,Retracted,,1.63,5.852948,2010,2021-10-02,15.3,,,,,,,,,,,5353,,
KIC 6805146 b,Retracted,,2.12,13.77973,2010,2021-10-02,13.2,,,,,,,,,,,6214,,
KIC 6805414 b,Candidate,,1.67,200.249,2013,2021-10-05,15.8,,,,,,-0.08,1.06,1.64,,,5677,,
KIC 7821010 b,Confirmed,,,991,2016,2021-04-29,11,,,,,360.5,,,,F2V,,,,
KIC 7917485 b,Controversial,11.8,,840,2016,2022-07-24,13.2,,,,,,-0.02,1.63,,A,,7067,,
KIC 8012732 b,Confirmed,,0.87,431.4681,2015,2016-05-23,14.3,,,,,,0.2,0.92,1.22,,,6221,,
KIC 9413313 b,Confirmed,,,,2015,2016-05-23,14.5,,,,,,0.02,0.95,1.45,,,5359,,
KIC 9662267 b,Confirmed,,0.34,466.202,2013,2014-05-22,15.3,,,,,,-0.03,0.86,0.89,,,5602,,
KIC 9704149 b,Confirmed,,0.4,697.0159,2013,2014-05-22,15.5,,,,,,-0.16,0.86,0.78,,,5640,,
KIC-7340288 b,Candidate,,0.1347,142.5,2020,2022-03-15,,,,,,,-0.31,0.57,,,,3949,,
KMT-2016-BLG-0212 b,Confirmed,,,,2018,2020-03-30,,,,,,6000,,0.5,,,,,,
KMT-2016-BLG-1105 b,Confirmed,0.0073,,,2022,2022-10-25,,,,,,5080,,0.41,,,,,,
KMT-2016-BLG-1107 b,Confirmed,3.283,,,2018,2018-08-15,,,,,,6651,,0.087,,,,,,
KMT-2016-BLG-1397 b,Confirmed,7,,,2018,2018-10-26,,,,,,6600,,0.45,,,,,,
KMT-2016-BLG-1820 b,Confirmed,4.57,,,2018,2018-06-29,,,,,,6260,,0.039,,,,,,
KMT-2016-BLG-1836L b,Confirmed,2.2,,,2019,2019-08-28,,,,,,7100,,0.49,,,,,,
KMT-2016-BLG-2142 b,Confirmed,15.49,,,2018,2018-06-29,,,,,,7010,,0.073,,,,,,
KMT-2016-BLG-2364 b,Confirmed,3.93,,,2020,2020-08-24,,,,,,6440,,0.5,,,,,,
KMT-2016-BLG-2397 b,Confirmed,2.42,,,2020,2020-08-24,,,,,,5009,,0.62,,,,,,
KMT-2016-BLG-2605 b,Confirmed,0.771,,,2021,2021-04-19,,,,,,6421,,0.064,,,,,,
KMT-2017-BLG-0165L b,Confirmed,0.107,,,2018,2018-09-26,,,,,,4530,,0.76,,,,,,
KMT-2017-BLG-0428 b,Confirmed,0.01114,,,2022,2022-10-25,,,,,,5400,,0.34,,,,,,
KMT-2017-BLG-0673L b,Confirmed,3.67,,,2022,2022-09-02,,,,,,5080,,0.63,,,,,,
KMT-2017-BLG-1038 b,Confirmed,2.4,,,2018,2019-03-21,,,,,,6100,,0.43,,,,,,
KMT-2017-BLG-1146 b,Confirmed,0.85,,,2018,2019-03-21,,,,,,6600,,0.4,,,,,,
KMT-2017-BLG-2509 b,Confirmed,2.09,,,2021,2021-09-16,,,,,,7040,,0.46,,,,,,
KMT-2017-BLG-2820,Confirmed,,,,2020,2020-10-27,,,,,,,,,,,,,,
KMT-2018-BLG-0029 b,Confirmed,0.02017,,,2019,2019-06-27,,,,,,2730,,1.06,,,,,,
KMT-2018-BLG-0030 b,Confirmed,1.45,,,2022,2022-06-24,,,,,,640,,0.51,,,,,,
KMT-2018-BLG-0087 b,Confirmed,0.23,,,2022,2022-06-24,,,,,,7020,,0.1,,,,,,
KMT-2018-BLG-0247 b,Confirmed,2.11,,,2022,2022-06-24,,,,,,6760,,0.29,,,,,,
KMT-2018-BLG-0748 b,Confirmed,0.19,,,2020,2020-07-13,,,,,,7300,,0.087,,,,,,
KMT-2018-BLG-1025L b,Confirmed,0.019064,,,2021,2022-03-15,,,,,,6700,,0.22,,,,,,
KMT-2018-BLG-1292L b,Confirmed,4.9,,,2019,2021-01-21,,,,,,2920,,1.6,,,,,,
KMT-2018-BLG-1743 b,Confirmed,0.925,,,2021,2021-07-02,,,,,,6200,,0.3,,,,,,
KMT-2018-BLG-1976L b,Confirmed,1.96,,,2021,2021-04-15,,,,,,5840,,0.65,,,,,,
KMT-2018-BLG-1988L b,Confirmed,0.0214,,,2021,2021-11-22,,,,,,4200,,0.47,,,,,,
KMT-2018-BLG-1990L b,Confirmed,0.57,,,2019,2019-05-15,,,,,,1239,,0.14,,M,,,,
KMT-2018-BLG-2004 b,Confirmed,0.27,,,2022,2022-04-12,,,,,,6980,,0.69,,,,,,
KMT-2018-BLG-2119 b,Confirmed,12,,,2022,2022-12-27,,,,,,7420,,0.21,,,,,,
KMT-2018-BLG-2602 b,Confirmed,1.15,,,2022,2022-06-24,,,,,,4310,,0.66,,,,,,
KMT-2018-BLG-2718 b,Confirmed,16,,,2022,2022-04-12,,,,,,4490,,0.82,,,,,,
KMT-2018:BLG-1996L b,Confirmed,1.22,,,2021,2021-04-15,,,,,,5910,,0.69,,,,,,
KMT-2019-BLG-0253 b,Confirmed,0.0289,,,2021,2021-06-16,,,,,,4900,,0.7,,,,,,
KMT-2019-BLG-0371 b,Confirmed,16.5,,,2021,2021-04-06,,,,,,7025,,0.09,,,,,,
KMT-2019-BLG-0414L b,Confirmed,4.42,,,2022,2022-09-02,,,,,,4410,,0.74,,,,,,
KMT-2019-BLG-0842 b,Confirmed,10.28,,,2019,2019-12-10,,,,,,3320,,0.76,,,,,,
KMT-2019-BLG-1003 b,Confirmed,0.01633,,,2022,2022-10-25,,,,,,7090,,0.32,,,,,,
KMT-2019-BLG-1042 b,Confirmed,0.19,,,2022,2022-04-06,,,,,,6600,,0.3,,,,,,
KMT-2019-BLG-1339/OGLE-2019/BLG-1019 b,Confirmed,12.2,,,2020,2020-03-06,,,,,,7150,,0.27,,,,,,
KMT-2019-BLG-1367 b,Confirmed,0.01284,,,2022,2022-10-25,,,,,,4670,,0.25,,,,,,
KMT-2019-BLG-1552 b,Confirmed,4.05,,,2022,2022-04-06,,,,,,,,0.79,,,,,,
KMT-2019-BLG-1715 b,Confirmed,2.56,,,2021,2021-04-02,,,,,,3860,,0.76,,,,,,
KMT-2019-BLG-1806/OGLE-2019-BLG-1250 b,Confirmed,0.01469,,,2022,2022-10-25,,,,,,6640,,0.74,,,,,,
KMT-2019-BLG-1953L b,Confirmed,0.59,,,2020,2021-01-15,,,,,,7040,,0.31,,,,,,
KMT-2019-BLG-1953L c,Confirmed,0.28,,,2020,2021-01-15,,,,,,7040,,0.31,,,,,,
KMT-2019-BLG-2073,Confirmed,0.186,,,2020,2020-07-16,,,,,,,,,,,,,,
KMT-2019-BLG-2974 b,Confirmed,0.28,,,2022,2022-04-06,,,,,,6100,,0.47,,,,,,
KMT-2020-BLG-0414 b,Confirmed,0.00381,,,2021,2021-03-03,,,,,,1220,,0.364,,,,,,
KMT-2020-BLG-0414 c,Confirmed,23.3,,,,2021-03-03,,,,,,1220,,0.364,,,,,,
KMT-2021-BLG-0119 b,Confirmed,5.7,,,2022,2022-09-09,,,,,,,,,,,,,,
KMT-2021-BLG-0171L b,Confirmed,0.0352,,,2022,2022-05-26,,,,,,4600,,0.78,,,,,,
KMT-2021-BLG-0192 b,Confirmed,0.15,,,2022,2022-09-09,,,,,,3000,,0.4,,,,,,
KMT-2021-BLG-0240 b,Confirmed,0.4,,,2022,2022-04-26,,,,,,7000,,0.47,,,,,,
KMT-2021-BLG-0240 c,Confirmed,0.7,,,2022,2022-04-26,,,,,,7000,,0.47,,,,,,
KMT-2021-BLG-0320 b,Confirmed,0.1,,,2022,2022-05-26,,,,,,6950,,0.32,,,,,,
KMT-2021-BLG-0322 b,Candidate,6.4,,,2021,2021-11-04,,,,,,6600,,,,,,,,
KMT-2021-BLG-0712 b,Confirmed,0.12016,,,2022,2022-07-18,,,,,,3090,,0.22,,,,,,
KMT-2021-BLG-0748 b,Confirmed,0.45,,,2022,2022-02-08,,,,,,6090,,0.36,,,,,,
KMT-2021-BLG-0909 b,Confirmed,1.26,,,2022,2022-07-18,,,,,,6480,,0.38,,,,,,
KMT-2021-BLG-0912 b,Confirmed,6.92,,,2021,2021-11-12,,,,,,6710,,0.75,,,,,,
KMT-2021-BLG-1077L b,Confirmed,0.22,,,2022,2022-04-01,,,,,,8240,,0.14,,,,,,
KMT-2021-BLG-1077L c,Confirmed,0.25,,,2022,2022-04-01,,,,,,8240,,0.14,,,,,,
KMT-2021-BLG-1105 b,Confirmed,1.3,,,2022,2022-07-18,,,,,,4540,,0.63,,,,,,
KMT-2021-BLG-1253 b,Confirmed,0.05994,,,2022,2022-02-08,,,,,,6649,,0.24,,,,,,
KMT-2021-BLG-1303 b,Confirmed,0.38,,,2022,2022-05-26,,,,,,6280,,0.57,,,,,,
KMT-2021-BLG-1372 b,Confirmed,0.19278,,,2022,2022-02-08,,,,,,5970,,0.42,,,,,,
KMT-2021-BLG-1554 b,Confirmed,0.12,,,2022,2022-05-26,,,,,,7680,,0.08,,,,,,
KMT-2021-BLG-1689L b,Confirmed,0.145,,,2022,2022-05-26,,,,,,7200,,0.58,,,,,,
KMT-2021-BLG-1898 b,Confirmed,0.76,,,2022,2022-04-26,,,,,,6900,,0.48,,,,,,
KMT-2021-BLG-1931 b,Confirmed,0.01432,,,2022,2022-02-08,,,,,,5720,,0.37,,,,,,
KMT-2021-BLG-2294 b,Confirmed,0.07,,,2022,2022-09-09,,,,,,6830,,0.125,,,,,,
KMT-2021-BLG-2478 b,Confirmed,0.8,,,2022,2022-07-18,,,,,,2500,,0.12,,,,,,
KMT-2022-BLG-0440L b,Confirmed,0.0485,,,2023,2023-01-18,,,,,,3500,,0.53,,,,,,
KOI-1089.02,Candidate,0.64,0.625,12.21826,2014,2018-07-23,15,,13.493,13.243,,1031.92,-0.05,0.98,1.09,,7,5820,,
KOI-1108 e,Candidate,,0.49,1160,2016,2021-09-27,14.9,,,,,,-0.36,0.822,0.753,,,5513,,
KOI-12 b,Confirmed,1.1,1.23,17.855182,2015,2021-02-05,11.51,,10.461,10.287,,403.99,,1.5,1.4,,1.5,6820,,
KOI-120.01,Confirmed,,2.774,20.54552799,2017,2020-10-07,,11.801,11.114,10.813,10.828,,0,0.932,1.231,,,5667,,
KOI-1257 b,Confirmed,1.45,0.94,86.647661,2014,2021-02-05,,,13.222,12.827,,900,0.27,0.99,1.13,G5 V,9.3,5520,,
KOI-13 b,Confirmed,9.28,1.512,1.763588,2011,2022-11-19,10,,9.466,9.455,,415,0.2,1.72,1.74,,,7650,,
KOI-142 b,Confirmed,0.03,0.307,10.91647,2013,2021-02-05,13.5,,11.882,11.517,11.454,339,0.27,0.99,0.9,G6 V,2.45,5466,,
KOI-142 c,Confirmed,0.674,,22.26492,2013,2021-02-05,13.5,,11.882,11.517,11.454,339,0.27,0.99,0.9,G6 V,2.45,5466,,
KOI-1421 b,Candidate,,0.91,2230,2016,2021-09-27,15.5,,,,,,0.08,1.06,1.02,,,5923,,
KOI-1599.01,Confirmed,0.01447,0.17,20.4415,2019,2021-02-05,,14.565,13.631,13.266,13.238,1168.99,0.052,1.02,0.97,,,5370,,
KOI-1599.02,Confirmed,0.02832,0.17,13.6088,2019,2021-02-05,,14.565,13.631,13.266,13.238,1168.99,0.052,1.02,0.97,,,5370,,
KOI-1783 b,Confirmed,0.2234,0.7904,134.4786723,2017,2022-07-13,,13.774,12.917,12.654,12.621,887.81,0.11,1.08,1.14,,,5922,,
KOI-1783 c,Confirmed,0.0472,0.4853,284.060953,2017,2022-07-13,,13.774,12.917,12.654,12.621,887.81,0.11,1.08,1.14,,,5922,,
KOI-1843.03,Candidate,0.00138,0.0544,0.1769,2012,2019-01-31,,,11.951,11.279,11.056,121,0.07,0.52,0.5,,4.37,3687,,
KOI-1894 b,Candidate,0.1,0.66,5.2880157,2015,2021-10-05,,,,,,,,1.41,3.79,,,4992,,
KOI-2453 A b,Candidate,,0.073,1.530515949,2017,2022-06-10,,14.939,13.185,12.651,12.423,,-0.1,0.422,0.4,,,3565,,
KOI-2525 c,Candidate,,1.13,1200,2016,2021-09-27,,,,,,,-0.1,0.71,0.73,,,4806,,
KOI-263 b,Candidate,,0.2097,20.71952,2011,2019-09-23,10.8,,,,,266,,1.07,1.59,,,5846,,
KOI-2700 b,Confirmed,0.00271,0.0946,0.910022,2013,2018-11-20,15.9,,,,,,-0.2,0.632,0.574,,,4433,,
KOI-288 b,Candidate,,0.281,10.275317,2011,2019-09-23,11.5,,,,,414.3,,1.45,2.1,F7V,,6187,,
KOI-364 b,Candidate,,0.0509,173.877461,2011,2019-09-23,,,,,,167,,1.13,1.39,G2.5IV,,5790,,
KOI-368 b,Confirmed,,1.83,110.3216,2014,2020-04-15,11.3,,,,,1070,0.07,2.17,2.043,F6,,9257,,
KOI-3680 b,Confirmed,1.93,0.99,141.241671,2018,2021-02-05,,14.325,13.384,13.041,13.101,946.59,0.16,1.01,0.96,,3.2,5830,,
KOI-410 b,Candidate,3.5,1.07,7.217,2011,2021-10-04,15.5,,,,,,-0.4,,1.12,,,5958,,
KOI-415 b,Confirmed,62.14,0.79,166.78805,2013,2018-12-21,,,13.049,12.67,12.66,962.56,-0.24,0.94,1.25,G0IV,10.5,5810,,
KOI-4427.01,Confirmed,,0.164,147.6606,2015,2020-04-15,9.34,,,,,240,-0.07,0.526,0.505,,3.6,3813,,
KOI-456.04,Candidate,,0.1704,378.417,2020,2020-08-10,,,13.46,13.101,13.052,962.92,-0.361,,1.12,,,5471,,
KOI-4777,Confirmed,0.00107,0.0455,0.412,2017,2023-01-23,17,,,,,170.66,0.1,0.41,0.4,,3.5,3515,,
KOI-4878 b,Confirmed,,0.0928,449.01499,2017,2022-10-03,,12.123,11.18,10.874,10.848,,-0.22,0.972,1.068,,,6031,,
